paper_id,paper,figure_or_table,sample,stage_or_model,condition_1,condition_1_value,condition_1_unit,condition_2,condition_2_value,condition_2_unit,measured_variable,measured_value,measured_unit,extra,data_type
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Table 1,MRF-132DG,Sample properties,solid_content_by_weight,80.98,%,MR_fluid_viscosity_at_40C,0.114,Pa·s,carrier_fluid_viscosity_40C_25C,0.011/0.018,Pa·s,Average particle size: Spherical 2.1 µm,reported table value
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Table 1,MRHCCS4-A,Sample properties,solid_content_by_weight,70.0,%,MR_fluid_viscosity_at_40C,0.167,Pa·s,carrier_fluid_viscosity_40C_25C,0.03/0.051,Pa·s,Average particle size: Spherical 1.8 µm,reported table value
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Table 1,MRHCCS4-B,Sample properties,solid_content_by_weight,80.0,%,MR_fluid_viscosity_at_40C,0.237,Pa·s,carrier_fluid_viscosity_40C_25C,0.03/0.051,Pa·s,Average particle size: Spherical 1.8 µm,reported table value
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Table 1,MRC-C1L,Sample properties,solid_content_by_weight,80.0,%,MR_fluid_viscosity_at_40C,0.108,Pa·s,carrier_fluid_viscosity_40C_25C,0.008/0.011,Pa·s,Average particle size: Spherical 1–5 µm,reported table value
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Fig. 5C / Results text,MRHCCS4-A / MRHCCS4-B,Rheological response time T90,shear_rate_range,11–218,s^-1,electric_current,2,A,T90_range,5.5–1.9,ms,Higher shear rate corresponds to shorter response time.,reported range
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Results text / conclusion,MRF-132DG / MRC-C1L,Rheological response time T90,shear_rate,varied,s^-1,carrier_fluid_viscosity,lower than LR fluids,relative,T90_range,1.4–0.8,ms,Exact shear-rate-to-response-time pairs are not reported in the text.,reported range
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Conclusion / magnetic response,Magnetic field,Magnetic-field response,maximum_current,slightly current-dependent,A,,,,T90I,0.335,ms,Initial shear-stress dead time reported as 0.4 ms.,reported value
Paper_1,Transient response of magnetorheological fluid on rapid change of magnetic field in shear mode,Conclusion / master curve,All measured fluids,Non-dimensional response-time master curve,coefficient,4.1939,,exponent,-0.35,,master_curve,T* = 4.1939 Mn^-0.35,,Generalized from measured data.,reported fitted relation
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 3,Silicone-based MRF (10% carbonyl iron powder by volume),Bingham fit,magnetic_induction_B,0.23,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,1369,Pa,Fitting equation y=1.15x+1369; R²=0.991; viscosity parameter eta=1.15 Pa·s,reported table value
Paper_2,Analysis and Experimental Study on Rheological Performances of Magnetorheological Fluids,Table 3,Silicone-based MRF (10% carbonyl iron powder by volume),Bingham fit,magnetic_induction_B,0.44,T,shear_rate_range,0–1000,s^-1,yield_stress_tau_y,3703,Pa,Fitting equation y=2.41x+3703; R²=0.98; viscosity parameter eta=2.41 Pa·s,reported table value
